DOI,Ano,WE,W-graphite,W-GCE,W-G,W-GO,W-rGO,W-Au,W-Cu,W-Pd,W-C,W-In,W-Sn,W-F,W-Fe,W-Ni,W-Polymer,W-Ti,W-N,W-Pt,W-graphene,Material,O,La,Ni,Na,Zn,Cd,Pt,Ir,Pd,C,Cu,Ag,Ru,Al,Rh,Au,Co,Mn,Br,Mg,B,Fe,Pb,Zr,Ce,S,Si,N,V,Nb,Ta,Sn,P,In,Ti,Bi,Sb,Cr,W,Mo,Se,Ge,Te,Org,Polymer,Aniline,rGO,GO,G,MOF,Nano,CNT,Eletrolyte,El_conc,pH,reference,Pot_Onset_V (SHE),Pot_Ox_V (SHE),Ox_Onset,J__mA_cm,methanol,ethanol,concentration,analyte
10.2139/ssrn.4137016,2022,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt-Cu-C-H2O2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,0.5,12.7,SCE,0.944,,,27,1,0,0.5,methanol
10.1149/1945-7111/ac5d8f,2022,Pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,PtRu,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,1,0.3,SCE,0.494,0.664,0.17,,1,0,0.1,methanol
10.1021/acs.inorgchem.2c01695,2022,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NiS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,RHE,0.574,0.774,0.2,145.1,1,0,1,methanol
10.1021/acs.inorgchem.2c01695,2022,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NiS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,RHE,0.574,0.774,0.2,175.5,0,1,1,ethanol
10.3390/catal12060608,2022,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Pd,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,Ag/AgCl,,-0.201,,1,1,0,1,methanol
10.3390/catal12060608,2022,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Pd-S,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,Ag/AgCl,,-0.301,,3,1,0,1,methanol
10.1007/s11696-022-02191-3,2022,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PtSnRuTa-C,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,0.5,1,Ag/AgCl,0.419,0.699,0.28,,1,0,1,methanol
10.1007/s11696-022-02191-3,2022,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PtSnRuTa-C,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,0.5,1,Ag/AgCl,0.299,0.599,0.3,,0,1,1,ethanol
10.1016/j.jallcom.2022.164231,2022,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PtRu-C,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HClO4,0.5,1,SCE,0.244,-0.106,-0.35,8.68,1,0,1,methanol
10.3390/coatings12060831,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AuFe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,0.5,12.7,Ag/AgCl,0.299,0.669,0.37,0.43,1,0,5,methanol
10.1038/s41467-022-30670-4,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NiOOH-PO,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,RHE,0.474,0.664,0.19,100,1,0,0.5,methanol
10.20964/2022.06.38,2022,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd-Ni,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,SCE,-0.356,-0.056,0.3,32.4,0,1,1,ethanol
10.1515/pac-2020-1101,2021,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,polyindole–Au,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NaOH,0.1,12,Ag/AgCl,0.299,0.499,0.2,2,0,1,0.01,ethanol
,,rGO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TiO2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,0.5,1,Ag/AgCl,0.599,0.849,0.25,,0,1,1,ethanol
10.1016/j.scriptamat.2022.114840,2022,SOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bi-Mn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,14,,,,,45.9,1,0,10,methanol
10.1016/j.colsurfa.2021.127466,2021,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N-C-NiO,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,RHE,0.624,0.794,0.17,26,1,0,1,methanol
10.1016/j.jelechem.2021.115654,2021,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd-Corannulene,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,KOH,1,14,Ag/AgCl,-0.001,0.049,0.05,102.1,1,0,1,methanol
,,Pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SnO2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HClO4,0.5,1,SHE,0.55,0.87,0.32,1.8,1,0,,methanol
,,Pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Commercial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HClO4,0.5,1,SHE,0.67,0.87,0.2,0.8,1,0,,methanol
,,Pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Au,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,0.5,1,SHE,0.5,0.7,0.2,,0,1,2,ethanol
10.3390/cryst11111398,2021,FTO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NiO-CuO,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,0.5,12.7,Ag/AgCl,0.629,0.799,0.17,12.2,1,0,0.3,methanol
10.3390/cryst11111398,2021,FTO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NiCrO2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,0.5,12.7,Ag/AgCl,0.589,0.799,0.21,6.5,1,0,0.3,methanol
10.1016/j.diamond.2021.108348,2021,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni-Cu-RCQDs,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,0.5,12.7,Ag/AgCl,0.509,0.919,0.41,90.41,1,0,0.5,methanol
10.1016/j.diamond.2021.108348,2021,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni-Nps,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,0.5,12.7,Ag/AgCl,0.659,0.859,0.2,10.38,1,0,0.5,methanol
10.1016/j.diamond.2021.108348,2021,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni-Cu,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,0.5,12.7,Ag/AgCl,0.559,0.759,0.2,30.77,1,0,0.5,methanol
10.3390/catal11070844,2021,carbon paper,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NiCo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,RHE,0.504,0.724,0.22,60,1,0,0.5,methanol
10.1016/j.bsecv.2019.08.003,2020,CPE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NiCo2O4-zeolite,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,0.1,12,Ag/AgCl,0.649,0.699,0.0499999999999999,,1,0,0.5,methanol
10.1016/j.cej.2021.130319,2021,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PtTe2Co,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,HClO4,0.1,1,SCE,0.944,1.244,0.3,8.3,1,0,0.5,methanol
10.3390/nano11010112,2021,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Au-Pt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,0.1,12,Hg/HgO,0.34,0.59,0.25,,1,0,0.5,methanol
10.1016/j.electacta.2021.139370,2021,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PtCo-NiCo,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,0.1,0.7,Ag/AgCl,0.799,1.199,0.4,,1,0,5,methanol
10.1016/j.electacta.2021.139370,2021,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PtNi-NiCo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,0.1,0.7,Ag/AgCl,0.699,1.079,0.38,,1,0,5,methanol
10.3390/nano10081601,2020,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NiOCuO,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,14,Ag/AgCl,0.699,1.099,0.4,437.28,1,0,3,methanol
10.1016/j.ijhydene.2019.08.071,2020,NF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NiNiO,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,Hg/HgO,1.04,1.24,0.2,479,1,0,1,methanol
10.1016/j.ijhydene.2019.08.071,2020,NF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NiNiO,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,Hg/HgO,1.04,1.24,0.2,479,0,1,1,ethanol
10.1016/j.jpowsour.2017.07.011,2017,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CuO-TiO2-Pd-NiO,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,0.5,12.7,RHE,-1.0493,-0.9493,0.0999999999999999,8,1,0,1,methanol
10.1016/j.jpowsour.2017.07.011,2017,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CuO-TiO2-Pd-NiO,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,0.5,12.7,RHE,-1.2493,-1.0493,0.2,2.5,0,1,0.5,ethanol
10.1016/j.electacta.2017.01.046,2017,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PdAuCu,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,Hg/HgO,-0.46,-0.06,0.4,,1,0,1,methanol
10.1016/j.electacta.2017.01.046,2017,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PdAuCu,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,Hg/HgO,-0.56,-0.00999999999999998,0.55,,0,1,1,ethanol
10.1021/acsami.9b14020,2019,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NiPO-GO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NaOH,0.1,12,SCE,0.694,0.944,0.25,28,1,0,1,methanol
10.1016/j.matchemphys.2018.09.066,2019,Ti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Ni,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,14,Hg/HgO,1.09,1.16,0.0699999999999998,50,1,0,1,methanol
10.1016/j.matchemphys.2018.09.066,2019,Ti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Ni,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,14,Hg/HgO,1.09,1.16,0.0699999999999998,40,0,1,1,ethanol
10.1149/2.1071803jes,2018,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PtRu-Sn,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,0.1,0.7,SCE,0.144,0.844,0.7,,0,1,0.2,ethanol
10.1155/2018/9870732,2018,steel,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,Ni-Co,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,0.5,1,SCE,-0.101,0.536,0.637,24.38,1,0,1,methanol
10.1021/acsami.8b16256,2018,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CuO-Co(OH)2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,RHE,0.604,0.824,0.22,159,1,0,3,methanol
10.3390/catal10121440,2020,Pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Ag-Au,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,0.5,1,Ag/AgCl,0.649,0.849,0.2,,1,0,1,methanol
10.1039/C9CC07211J,2020,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd-NiO-Y-CNT,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NaOH,1,14,Ag/AgCl,0.599,0.699,0.1,-200,1,0,1,methanol
10.1021/acscatal.9b04275,2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Pt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HClO4,0.1,1,RHE,0.541,0.691,0.15,1.3,1,0,0.005,methanol
10.1021/acscatal.9b04275,2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Pt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HClO4,0.1,1,RHE,0.371,0.521,0.15,0.6,0,1,0.01,ethanol
10.3390/catal12060608,2022,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Pd,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,Ag/AgCl,-0.101,-0.001,0.1,,1,0,1,ethanol
10.3390/catal12060608,2022,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Pd-Sn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,Ag/AgCl,-0.301,-0.051,0.25,,1,0,1,methanol
10.3390/catal12060608,2022,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Pd,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,Ag/AgCl,-0.101,-0.001,0.1,,0,1,1,ethanol
10.3390/catal12060608,2022,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Pd-Sn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,14,Ag/AgCl,-0.201,0.099,0.3,,0,1,1,ethanol
10.1515/pac-2020-1101,2021,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Polyindole-Au,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaOH,0.1,12,Ag/AgCl,0.299,0.499,0.2,2,0,1,10,ethanol
10.1016/j.colsurfa.2020.125199,2020,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni-MOF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NaOH,0.5,12.7,SCE,0.644,0.744,0.1,90,1,0,4,methanol
10.1016/j.ijhydene.2020.03.015,2020,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PtAg-C,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,0.1,12,SCE,-0.156,-0.036,0.12,20,1,0,0.1,methanol
10.1016/j.ijhydene.2020.03.015,2020,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PtAg-TiO2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,0.1,12,SCE,-0.156,0.044,0.2,45,1,0,0.1,methanol
10.1016/j.ijhydene.2020.03.015,2020,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PtAg-C,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,0.5,1,SCE,0.644,0.844,0.2,12,1,0,0.1,methanol
10.1016/j.ijhydene.2020.03.015,2020,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PtAg-TiO2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,0.5,1,SCE,0.594,0.794,0.2,22,1,0,0.1,methanol
10.1149/1945-7111/ab98f1,2020,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RhPt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,H2SO4,0.1,0.7,SCE,0.644,0.824,0.18,4.5,1,0,1,methanol
10.1149/1945-7111/ab98f1,2020,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RhPt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,H2SO4,0.1,0.7,SCE,0.544,0.794,0.25,,0,1,1,ethanol
10.1149/1945-7111/ab98f1,2020,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RuPt,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,H2SO4,0.1,0.7,SCE,0.444,0.824,0.38,,0,1,1,ethanol
10.1021/acsomega.9b02863,2019,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,HClO4,0.5,1,Ag/AgCl,0.749,0.899,0.15,20,1,0,0.5,methanol
10.1016/j.ijhydene.2018.03.064,2018,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PtAg-G,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,KOH,1,14,Hg/HgO,0.178,0.571,0.393,8.2,1,0,1,methanol
